CustomerID,Recency_x,Frequency,Monetary,Cluster_KMeans,Cluster_GMM,Cluster_HDBSCAN,CLV,Recency_y,Churned
12346.0,326,1,77183.6,3,3,27,77183.6,326,1
12347.0,2,7,4310.0,0,0,24,4310.0,2,0
12348.0,75,4,1797.24,0,0,22,1797.24,75,0
12349.0,19,1,1757.55,0,0,19,1757.55,19,0
12350.0,310,1,334.4,1,1,3,334.4,310,1
12352.0,36,8,2506.04,0,0,24,2506.04,36,0
12353.0,204,1,89.0,1,1,4,89.0,204,1
12354.0,232,1,1079.4,1,3,10,1079.4,232,1
12355.0,214,1,459.4,1,1,4,459.4,214,1
12356.0,23,3,2811.43,0,0,20,2811.43,23,0
12357.0,33,1,6207.67,0,3,22,6207.67,33,0
12358.0,2,2,1168.06,0,0,12,1168.06,2,0
12359.0,58,4,6372.58,0,3,22,6372.58,58,0
12360.0,52,3,2662.06,0,0,-1,2662.06,52,0
12361.0,287,1,189.9,1,1,3,189.9,287,1
12362.0,3,10,5226.2300000000005,0,3,27,5226.2300000000005,3,0
12363.0,110,2,552.0,0,1,8,552.0,110,1
12364.0,8,4,1313.1,0,0,22,1313.1,8,0
12365.0,291,2,641.38,1,1,2,641.38,291,1
12367.0,4,1,168.9,0,1,11,168.9,4,0
12370.0,51,4,3545.69,0,0,22,3545.69,51,0
12371.0,45,2,1887.96,0,0,13,1887.96,45,0
12372.0,72,3,1298.04,0,0,20,1298.04,72,0
12373.0,311,1,364.6,1,1,3,364.6,311,1
12374.0,25,1,742.9300000000001,0,0,19,742.9300000000001,25,0
12375.0,11,2,457.5,0,1,12,457.5,11,0
12377.0,315,2,1628.12,1,3,2,1628.1200000000001,315,1
12378.0,130,1,4008.62,0,3,8,4008.62,130,1
12379.0,82,2,852.24,0,1,13,852.24,82,0
12380.0,22,4,2724.81,0,0,22,2724.81,22,0
12381.0,5,5,1845.31,0,0,6,1845.31,5,0
12383.0,185,5,1850.56,1,3,21,1850.56,185,1
12384.0,29,2,585.27,0,1,13,585.27,29,0
12386.0,338,2,401.9,1,1,2,401.9,338,1
12388.0,16,6,2780.66,0,0,23,2780.66,16,0
12390.0,80,1,549.84,0,1,1,549.84,80,0
12391.0,22,1,460.89,0,1,19,460.89,22,0
12393.0,72,4,1582.6,0,0,22,1582.6000000000001,72,0
12394.0,64,2,1272.48,0,0,13,1272.48,64,0
12395.0,19,12,3018.63,0,0,27,3018.63,19,0
12397.0,36,2,2409.9,0,0,13,2409.9,36,0
12398.0,46,1,1635.66,0,0,1,1635.6599999999999,46,0
12399.0,119,4,1108.65,0,0,21,1108.65,119,1
12401.0,303,1,84.3,1,1,3,84.3,303,1
12402.0,323,1,225.6,1,1,3,225.60000000000002,323,1
12403.0,50,1,427.7,0,1,1,427.7,50,0
12405.0,149,1,1710.39,1,3,1,1710.39,149,1
12406.0,22,2,3415.3,0,0,20,3415.3,22,0
12407.0,50,5,1708.12,0,0,21,1708.12,50,0
12408.0,33,5,2888.55,0,0,6,2888.55,33,0
12409.0,79,3,11072.67,0,3,-1,11072.67,79,0
12410.0,309,2,693.3299999999999,1,1,2,693.3299999999999,309,1
12412.0,75,3,1226.88,0,0,20,1226.88,75,0
12413.0,67,3,758.1,0,0,20,758.1,67,0
12414.0,217,3,562.41,1,1,2,562.41,217,1
12415.0,24,21,124914.53,2,2,27,124914.53,24,0
12417.0,3,9,3649.1,0,0,25,3649.1,3,0
12418.0,113,1,668.58,0,1,1,668.58,113,1
12420.0,64,1,600.39,0,1,1,600.39,64,0
12421.0,16,4,807.04,0,0,22,807.04,16,0
